Name,New Address,Website,Rating,Tag,Image_1,Image_2,Image_3,Image_4
그란구스또,135-280 서울시 강남구 삼성로340 (대치동),https://korean.visitseoul.net/restaurants/Gran-Gusto/JPP005115?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP005115,5.0,"#이탈리안레스토랑, # 이탈리아식, # 코스요리, # 그란구스또, # 삼성역, # 대치동맛집, # 양식맛집, # 파스타맛집, #파스타, #고등어파스타, # 삼성맛집",그란구스또_1.jpg,그란구스또_2.jpg,그란구스또_3.jpg,그란구스또_4.jpg
뿌자,03104 서울시 종로구 종로327 (창신동),https://korean.visitseoul.net/restaurants/Pooja-JP/JPP007890?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP007890,4.5,"#네팔음식, #인도음식, # 동묘맛집, #레스토랑, #뿌자, #커리맛집, #동대문맛집, # 동묘앞역, #인도요리",뿌자_1.jpg,뿌자_2.jpg,뿌자_3.jpg,뿌자_4.jpg
콰이19,(우)06028 서울시 강남구 강남대로162길 41-20,https://korean.visitseoul.net/restaurants/Kuai-194/TCP005776?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP005776,4.5,"#가로수길맛집, #콰이19, #중국음식맛집, #레스토랑, #신사역, #신사맛집, #유린기, # 퓨전중식, #중식, # 중식맛집",콰이19_1.jpg,콰이19_2.jpg,콰이19_3.jpg,콰이19_4.jpg
부산양곱창,06147 서울특별시 강남구 언주로98길 8-1,https://korean.visitseoul.net/restaurants/Busan-Yanggopchang/ENP004661?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP004661,5.0,"#대창맛집, #곱창, #선릉맛집, #강남맛집, # 곱창맛집, #역삼동맛집, #한식, # 양구이, #부산양곱창, #역삼, # 대창",부산양곱창_1.jpg,부산양곱창_2.jpg,부산양곱창_3.jpg,부산양곱창_4.jpg
폴앤폴리나,서울시 서대문구 연희로11길 56 (우)03703,https://korean.visitseoul.net/restaurants/Paul--Paulina-TC/TCP006661?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP006661,4.5,"#연희동빵집, #베이커리, # 유럽식빵집, #천연발효빵, #홍대입구역, #수요미식회, #폴앤폴리나",폴앤폴리나_1.jpg,폴앤폴리나_2.jpg,폴앤폴리나_3.jpg,폴앤폴리나_4.jpg
돈수백,04050 서울시 마포구 홍익로6길 56,https://korean.visitseoul.net/restaurants/Donsoobaek2/ENP007461?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP007461,4.5,"#돼지국밥, #곱창전골, #돈수백, #홍대밥집, # 만두, #한식, #홍대맛집",돈수백_1.jpg,돈수백_2.jpg,돈수백_3.jpg,돈수백_4.jpg
갯마을낙지,"05562 서울 송파구 백제고분로9길 6 (잠실동, sms)",https://korean.visitseoul.net/restaurants/갯마을낙지/KOP006597?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006597,5.0,"#낙지, #잠실음식점, #연포탕, #낙지전문점, #갯마을낙지집, #신천음식점, #종합운동장역, #한식",갯마을낙지_1.jpg,갯마을낙지_2.jpg,갯마을낙지_3.jpg,갯마을낙지_4.jpg
홈수끼 (Home Sukki),"05638 서울 송파구 위례성대로 134 (방이동, 한스빌딩)",https://korean.visitseoul.net/restaurants/홈수키/KOP006334?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006334,5.0,"#샤부샤부, #방이역, # 태국수키, # 아시안음식점, #잠실맛집, #먹자골목, #레스토랑, #코스요리, #올림픽공원맛집, #홈수끼, #방이동맛집",홈수끼 (Home Sukki)_1.jpg,홈수끼 (Home Sukki)_2.jpg,홈수끼 (Home Sukki)_3.jpg,홈수끼 (Home Sukki)_4.jpg
두레국수,06024 서울시 강남구 도산대로37길 28,https://korean.visitseoul.net/restaurants/都来面条/CNP021598?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP021598,4.5,"#진짜맛집, #국수집, # 비빔국수, #압구정음식점, #두레국수, #김태희, #한류명소, # 맛집, #신사동음식점, # 압구정역, #곱창전골, #나얼, #박보검, #한류스타단골명소",두레국수_1.jpg,두레국수_2.jpg,두레국수_3.jpg,두레국수_4.jpg
백리향,07345 서울시 영등포(영등포)구 63로50 (여의도동) 57층,https://korean.visitseoul.net/restaurants/白里香/JPP004475?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP004475,4.5,"#레스토랑, #중식, # 중식맛집, # 분위기맛집, #백리향, #63빌딩, # 여의도, #미쉐린가이드, # 정통중식, #미슐랭, # 모임장소, #여의도음식점",백리향_1.jpg,백리향_2.jpg,백리향_3.jpg,백리향_4.jpg
배드파머스,서울시 강남구 압구정로4로 31 (우)06028,https://korean.visitseoul.net/restaurants/BAD-FARMERS-/TCP015846?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP015846,4.5,"#려원, #이효리, #한류관광, #빈지노, # 샐러드맛집, #착즙쥬스, # 건강주스, #유기농, #건강, #전지현, #이하늬, #다이어트, #배드파머스, #샐러드, #한류",배드파머스_1.jpg,배드파머스_2.jpg,배드파머스_3.jpg,배드파머스_4.jpg
나인스게이트그릴,04533 서울특별시 중구 소공로 106  (소공동),https://korean.visitseoul.net/restaurants/나인스게이트그릴1/KOP014354?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014354,4.5,"#브라스리, #호텔레스토랑, # 프렌치레스토랑, # 시청맛집, # 프랑스음식, # 나인스게이트그릴, # 양식맛집, # 시청역, # 웨스턴조선호텔",나인스게이트그릴_1.jpg,나인스게이트그릴_2.jpg,나인스게이트그릴_3.jpg,나인스게이트그릴_4.jpg
모던눌랑,06545 서울시 서초(서초)구 사평데로 205 (반포동) CENTRALCITY,https://korean.visitseoul.net/restaurants/MODERN-NÜLANG-JP/JPP017695?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP017695,4.5,"#모던눌랑, #고속터미널역, # 고터맛집, # 파미에스테이션맛집, #중식, #파미에스테이션, #중식맛집, #코스요리, #반포음식점, #레스토랑, #중화요리",모던눌랑_1.jpg,모던눌랑_2.jpg,모던눌랑_3.jpg,모던눌랑_4.jpg
